ID,kwh
2024-09-24_consumer_device_12_data_user_1,0.16582015878207537
2024-09-25_consumer_device_12_data_user_1,0.15655241738757572
2024-09-26_consumer_device_12_data_user_1,0.15004563715160546
2024-09-27_consumer_device_12_data_user_1,0.1476734929749723
2024-09-28_consumer_device_12_data_user_1,0.1467108709821558
2024-09-29_consumer_device_12_data_user_1,0.14425982184783293
2024-09-30_consumer_device_12_data_user_1,0.14330314041596387
2024-10-01_consumer_device_12_data_user_1,0.14340435626460699
2024-10-02_consumer_device_12_data_user_1,0.14472541988768836
2024-10-03_consumer_device_12_data_user_1,0.1342270936379768
2024-10-04_consumer_device_12_data_user_1,0.13274579180621515
2024-10-05_consumer_device_12_data_user_1,0.13276121054691514
2024-10-06_consumer_device_12_data_user_1,0.13276046811280404
2024-10-07_consumer_device_12_data_user_1,0.13526773415123877
2024-10-08_consumer_device_12_data_user_1,0.1367736715928947
2024-10-09_consumer_device_12_data_user_1,0.13742367464761746
2024-10-10_consumer_device_12_data_user_1,0.13832941138739657
2024-10-11_consumer_device_12_data_user_1,0.13931333968985157
2024-10-12_consumer_device_12_data_user_1,0.13139304722550965
2024-10-13_consumer_device_12_data_user_1,0.1267607038687826
2024-10-14_consumer_device_12_data_user_1,0.1228467830297909
2024-10-15_consumer_device_12_data_user_1,0.12253207291113188
2024-10-16_consumer_device_12_data_user_1,0.12067160075998458
2024-10-17_consumer_device_12_data_user_1,0.11891271581967551
2024-10-18_consumer_device_12_data_user_1,0.11937704797826892
2024-10-19_consumer_device_12_data_user_1,0.12005835254969811
2024-10-20_consumer_device_12_data_user_1,0.12220484907290889
2024-10-21_consumer_device_12_data_user_1,0.1145213160815231
2024-10-22_consumer_device_12_data_user_1,0.11554349440347121
2024-10-23_consumer_device_12_data_user_1,0.11649154982045623
2024-10-24_consumer_device_12_data_user_1,0.11862852710881344
2024-09-24_consumer_device_12_data_user_10,0.11465568009346386
2024-09-25_consumer_device_12_data_user_10,0.1082311585207291
2024-09-26_consumer_device_12_data_user_10,0.10371988803714945
2024-09-27_consumer_device_12_data_user_10,0.10205184000222653
2024-09-28_consumer_device_12_data_user_10,0.1013767141125308
2024-09-29_consumer_device_12_data_user_10,0.09966253577312276
2024-09-30_consumer_device_12_data_user_10,0.09896830025247058
2024-10-01_consumer_device_12_data_user_10,0.09901279429759084
2024-10-02_consumer_device_12_data_user_10,0.09988645999577095
2024-10-03_consumer_device_12_data_user_10,0.0926684301089074
2024-10-04_consumer_device_12_data_user_10,0.0916078901260953
