Datum,Elektrárna,Klasifikace,Kapacita(kW),PV(kWh),Prodej(kWh),Koupit(kWh),Spotřeba(kWh),Spotřebováno v domácnosti(kWh),Vlastní poměr(%),Contribution Ratio(%),Příjem(CZK)
01.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.2,0.11,14.12,20.01,5.89,98.17,29.44,6
02.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.3,0.11,6.32,12.21,5.89,98.17,48.24,6.5
03.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.9,0.12,5.51,12.19,6.68,98.24,54.8,9.5
04.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.8,0.15,6.13,11.78,5.65,97.41,47.96,9
05.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.5,0.88,5.14,14.76,9.62,91.62,65.18,22.5
06.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.8,0.07,7.27,15.5,8.23,99.16,53.1,4
07.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.7,0.13,9.23,15.7,6.47,98.03,41.21,3.5
08.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.8,0.03,7.69,12.76,5.07,99.41,39.73,4
09.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.15,5.78,13.53,7.75,98.1,57.28,11
10.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,5.3,2.73,6.98,11.85,4.87,64.08,41.1,26.5
11.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,7,0.18,3.47,13.49,10.02,98.24,74.28,35
12.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.05,4.13,16.78,12.65,99.61,75.39,2
13.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.09,13.91,23.22,9.31,99.04,40.09,2
14.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.4,0.04,12.15,18.61,6.46,99.38,34.71,2
15.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.1,7.85,13.35,5.5,98.21,41.2,11
16.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.6,0.13,4.6,12.37,7.77,98.35,62.81,8
17.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,4.6,2.38,7.99,13.91,5.92,71.33,42.56,23
18.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,1.3,0.05,4.64,9.59,4.95,99,51.62,6.5
19.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,0.6,0.06,4.96,16.2,11.24,99.47,69.38,3
20.01.2024,HFVE Zapletal Simon,Úložiště baterie,7.6,7.2,3.77,12.87,18.5,5.63,59.89,30.43,36
