Datum,PV(kWh),sin_month_x,cos_month_x,sin_dayofyear_x,cos_dayofyear_x,year_x,datetime,humidity,dew,windspeed,precip,solarradiation,tempmin,precipcover,uvindex,temp,tempmax,pressure,windgust,winddir,feelslikemin,snowdepth,cloudcover,feelslike,snow,solarenergy,feelslikemax,preciptype,visibility,sin_month_y,cos_month_y,sin_dayofyear_y,cos_dayofyear_y,year_y,sunset_seconds,sunrise_seconds,sunset_sin,sunset_cos,sunrise_sin,sunrise_cos,day_length_seconds,day_length_hours
2024-01-01,1.2,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,2024,2024-01-01,90.3,1.7,21.7,10.257,21.8,1.6,50.0,2.0,3.2,4.1,1010.0,58.1,243.6,-1.9,4.4,90.3,-0.5,0.6,2.0,2.1,"['rain', 'snow']",13.3,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,2024,57522,27864,-0.8631753267195231,-0.5049043031532258,0.8980275757606156,-0.43993916985591514,29658,8.238333333333333
2024-01-02,1.3,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,2024,2024-01-02,85.4,0.2,24.3,2.379,14.8,0.8,50.0,1.0,2.4,3.4,1008.2,61.2,202.5,-3.2,4.7,93.5,-1.9,0.0,1.3,0.0,['rain'],19.1,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,2024,57583,27861,-0.8654066046925195,-0.5010702630914803,0.8981235342261633,-0.43974324016305893,29722,8.25611111111111
2024-01-03,1.9,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,2024,2024-01-03,84.5,3.7,27.6,4.154,23.8,3.7,70.83,2.0,6.2,7.7,998.8,59.5,221.6,-0.7,5.4,88.3,2.3,0.0,2.0,4.3,['rain'],23.5,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,2024,57645,27856,-0.867657009819544,-0.4971632662526544,0.8982833700053515,-0.43941664416795684,29789,8.274722222222222
2024-01-04,1.8,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,2024,2024-01-04,82.2,2.9,27.9,3.524,13.8,3.5,95.83,1.0,5.7,6.7,1000.5,57.6,246.2,-1.1,4.9,92.8,1.5,0.0,1.2,2.9,['rain'],22.6,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,2024,57710,27847,-0.8699973653095463,-0.4930563703618967,0.8985707751078692,-0.43882862500302217,29863,8.295277777777779
2024-01-05,4.5,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,2024,2024-01-05,89.4,0.9,18.1,0.374,39.8,0.8,29.17,2.0,2.5,4.2,1008.5,68.4,201.5,-3.5,5.0,82.8,-0.9,0.0,3.5,1.8,"['rain', 'snow']",26.9,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,2024,57777,27835,-0.8723893856915355,-0.488811578967546,0.8989533831268117,-0.4380443070796145,29942,8.317222222222222
2024-01-06,0.8,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,2024,2024-01-06,95.6,0.7,22.6,8.58,12.1,-1.1,79.17,1.0,1.3,3.8,1007.5,68.4,17.0,-6.8,4.1,97.2,-2.1,0.0,1.1,1.1,"['rain', 'snow']",5.0,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,2024,57846,27820,-0.8748311619780262,-0.48442794926818217,0.8994306804087443,-0.43706344063472446,30026,8.340555555555556
2024-01-07,0.7,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,2024,2024-01-07,86.1,-7.0,36.1,3.487,11.9,-8.2,79.17,1.0,-5.0,-1.4,1013.4,57.2,20.7,-17.5,3.6,99.5,-13.1,4.8,1.1,-7.6,"['rain', 'snow']",6.8,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,2024,57918,27802,-0.8773556172302113,-0.4798407245269986,0.9000020243763213,-0.4358857145153115,30116,8.365555555555556
2024-01-08,0.8,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,2024,2024-01-08,79.6,-13.0,35.7,0.259,47.5,-11.7,29.17,3.0,-10.1,-8.4,1026.3,64.5,24.0,-21.6,7.6,83.3,-19.4,1.2,3.9,-18.1,['snow'],7.5,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,2024,57991,27781,-0.8798905774615083,-0.47517635851802786,0.9006666431902735,-0.4345107568799243,30210,8.391666666666667
2024-01-09,2.2,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,2024,2024-01-09,69.0,-16.1,28.3,0.0,58.0,-12.7,0.0,3.0,-11.4,-8.9,1036.3,64.5,47.1,-22.4,7.4,35.8,-19.1,0.0,5.0,-12.1,['none'],19.0,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,2024,58067,27757,-0.882503366193993,-0.47030607975686545,0.9014236353461474,-0.4329381360417858,30310,8.419444444444444
2024-01-10,5.3,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,2024,2024-01-10,57.4,-16.0,10.1,0.0,60.7,-13.7,0.0,3.0,-9.0,-3.0,1035.6,14.4,271.3,-18.7,5.6,5.9,-12.7,0.0,5.2,-6.1,['none'],22.4,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,2024,58144,27730,-0.8851230417928431,-0.4653570681609821,0.9022719692070904,-0.4311673614539478,30414,8.448333333333334
