datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2025-07-12,1752271200,20.3,13.0,16.7,20.3,13.0,16.7,12.0,75.1,0.4,100.0,12.5,['rain'],0.0,0.0,39.2,18.2,210.2,1013.0,79.5,16.4,136.8,11.8,6.0,10.0,04:55:05,1752288905,20:52:05,1752346325,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['D4554', 'LKMT', 'LKKU', 'LZZI']",comb
2025-07-13,1752357600,26.2,15.4,20.5,26.2,15.4,20.5,13.2,64.2,1.0,61.3,25.0,['rain'],0.0,0.0,36.7,14.0,186.1,1012.7,76.1,23.9,279.4,24.2,8.0,10.0,04:56:07,1752375367,20:51:16,1752432676,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,,fcst
2025-07-14,1752444000,26.7,15.6,21.5,26.7,15.6,21.5,15.7,71.4,0.5,61.3,16.67,['rain'],0.0,0.0,34.9,11.9,234.0,1014.1,45.0,24.1,258.0,22.2,8.0,30.0,04:57:09,1752461829,20:50:26,1752519026,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,,fcst
2025-07-15,1752530400,25.3,15.7,20.3,25.3,15.7,20.3,15.2,74.0,0.3,51.6,4.17,['rain'],0.0,0.0,38.5,16.2,249.0,1014.5,68.2,24.1,253.0,22.0,8.0,10.0,04:58:14,1752548294,20:49:32,1752605372,0.66,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain.,rain,,fcst
2025-07-16,1752616800,19.3,12.7,16.1,19.3,12.7,16.1,11.6,75.5,4.3,54.8,20.83,['rain'],0.0,0.0,31.7,10.4,289.8,1012.5,87.7,20.9,140.3,12.1,8.0,10.0,04:59:20,1752634760,20:48:36,1752691716,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,,fcst
2025-07-17,1752703200,15.8,9.8,12.7,15.8,8.7,12.7,11.0,89.3,5.9,25.8,16.67,['rain'],0.0,0.0,34.2,15.8,232.1,1014.7,72.0,20.5,166.5,14.4,5.0,10.0,05:00:27,1752721227,20:47:38,1752778058,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-07-18,1752789600,22.6,9.5,16.1,22.6,9.1,16.0,10.1,70.2,0.1,25.8,4.17,['rain'],0.0,0.0,9.4,6.5,184.3,1016.5,27.8,24.1,290.8,25.5,7.0,10.0,05:01:36,1752807696,20:46:37,1752864397,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-07-19,1752876000,25.7,12.7,19.5,25.7,12.7,19.5,10.2,56.8,0.0,41.9,0.0,,0.0,0.0,7.9,9.4,88.1,1016.2,25.4,24.1,319.6,27.6,8.0,10.0,05:02:46,1752894166,20:45:34,1752950734,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-07-20,1752962400,26.5,15.2,20.8,26.5,15.2,20.8,11.9,58.0,0.0,41.9,0.0,,0.0,0.0,10.4,8.6,51.0,1015.7,93.9,24.1,283.5,24.6,8.0,10.0,05:03:57,1752980637,20:44:29,1753037069,0.84,Overcast,Cloudy skies throughout the day.,cloudy,,fcst
2025-07-21,1753048800,28.1,16.0,22.2,27.7,16.0,22.2,13.5,59.4,0.0,29.0,0.0,,0.0,0.0,11.9,11.5,55.9,1017.0,25.3,24.1,287.0,24.9,8.0,10.0,05:05:10,1753067110,20:43:21,1753123401,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-07-22,1753135200,30.3,17.5,24.1,29.7,17.5,24.0,14.6,57.1,0.2,29.0,4.17,['rain'],0.0,0.0,9.7,7.2,142.4,1018.5,44.5,23.4,304.4,26.1,8.0,10.0,05:06:23,1753153583,20:42:11,1753209731,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-07-23,1753221600,33.5,20.0,26.6,32.6,20.0,26.3,14.0,47.9,0.0,48.4,0.0,['rain'],0.0,0.0,20.5,14.4,183.3,1016.0,5.5,24.1,311.0,27.0,8.0,10.0,05:07:38,1753240058,20:40:59,1753296059,0.95,Rain,Clear conditions throughout the day with a chance of rain.,rain,,fcst
2025-07-24,1753308000,29.5,16.2,23.0,29.7,16.2,23.0,15.2,63.8,3.8,48.4,20.83,['rain'],0.0,0.0,33.5,16.9,252.9,1011.5,56.3,21.3,260.3,22.4,8.0,30.0,05:08:54,1753326534,20:39:45,1753382385,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,,fcst
2025-07-25,1753394400,26.7,14.1,20.0,26.7,14.1,20.0,11.7,63.3,0.2,35.5,4.17,['rain'],0.0,0.0,17.8,7.2,90.1,1014.5,25.9,24.1,315.1,27.0,8.0,10.0,05:10:10,1753413010,20:38:29,1753468709,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-07-26,1753480800,32.6,16.2,24.3,31.5,16.2,23.9,11.4,46.0,0.0,19.4,0.0,,0.0,0.0,49.3,14.8,170.7,1010.9,8.3,24.1,309.9,26.7,8.0,10.0,05:11:28,1753499488,20:37:10,1753555030,0.05,Clear,Clear conditions throughout the day.,clear-day,,fcst
